년도,발생건수,인명피해(명),사고원인1(조종과실),사고원인2(정비불량),사고원인3(기타),사고원인4(조사중),사고기종1(운송용정기항공),사고기종2(기타),비행단계1(순항),비행단계2(이착륙),비행단계3(기타)
2002,4,2,4,0,0,0,0,4,2,2,0
2003,5,2,1,0,4,0,0,5,1,0,4
2004,3,2,2,1,0,0,0,0,2,1,0
2005,3,1,2,1,0,0,0,0,3,0,0
2006,5,0,5,0,0,0,3,2,1,4,0
2007,1,0,0,1,0,0,1,0,0,1,0
2008,3,0,2,1,0,0,0,3,0,3,0
2009,5,5,4,0,0,1,2,3,1,4,0
2010,5,1,1,4,0,0,1,4,5,0,0
2011,7,10,5,0,2,0,1,6,7,0,0
2012,5,1,1,2,2,0,2,3,4,1,0
2013,9,10,7,1,1,0,3,6,5,4,0
2014,3,5,3,0,0,0,0,3,1,2,0
2015,1,0,1,0,0,0,1,0,0,1,0
2016,7,9,4,1,2,0,0,7,3,4,0
2017,5,2,4,0,1,0,0,5,5,0,0
2018,1,1,1,0,0,0,0,1,0,0,1
2019,3,7,0,0,1,2,1,2,0,0,3
2020,4,3,0,0,1,3,1,3,2,0,2
2021,2,1,0,0,0,2,1,1,1,0,1
2022,6,8,0,0,0,6,2,4,1,1,4
2023,4,3,0,0,0,4,1,3,1,0,3
2024,3,179,0,0,0,3,2,1,1,1,1
2025,5,3,0,0,0,5,1,4,4,0,1
