관측일자,관측소한글명,관측소영문명,수온,염분,용존산소,기상청 데이터 유무
2021-11-23,부산 장안,Busan Jangan,15,,,Y
2021-11-23,울진 후포,Uljin Hupo,16,,,Y
2021-11-23,추자도,Chujado,15,,,Y
2021-11-23,군산 비안도,Gunsan Biando,14,,,Y
2021-11-23,보령 삽시도,Sapsido,14,,,Y
2021-11-23,제주 우도,Jeju Udo,19,,,Y
2021-11-23,제주 협재,Jeju Hyupjae,18,,,Y
2021-11-23,태안 신진도,Sinjindo,15,,,Y
2021-11-23,진도 불도,Jindo Buldo,15,,,Y
2021-11-23,통영 두미도,Tongyeong Doomido,16,,,Y
2021-11-23,신안 자은,Sinan Jaeun,14,,,Y
2021-11-23,거제 해금강,Tongyeong Haegeumgang,16,,,Y
2021-11-23,제주 용담,Jeju Yongdam,18,,,Y
2021-11-23,제주 중문,Jeju Jungmun,18,,,Y
2021-11-23,부산 다대포,Busan Dadaepo,14,,,Y
2021-11-23,인천 이작도,Ijakdo,15,,,Y
2021-11-23,서제주,SEOJEJU,17,26,,
2021-11-23,고리,GORI,16,33,,
2021-11-23,덕천,DUCCHEN,17,34,,
2021-11-23,나곡,NAGOK,15,13,,
2021-11-23,진하,JINHA,15,34,,
2021-11-23,기장(한수원),GIJANG,15,33,,
2021-11-23,온양,ONYANG,16,35,,
2021-11-23,고흥 소록도,Goheung Sorokdo,15,26,,
2021-11-23,기장,GIJANG,15,,,
2021-11-23,여수 금오도,yeosu Keunodo,15,,,Y
2021-11-23,통영 한산도,Tongyeong Hansando,16,,,Y
2021-08-20,안산 풍도,Pyungdo,28,,,Y
2021-11-23,인천 자월도,Jaweoldo,14,,,Y
2021-11-23,서천 마량,Seocheon Maryang,14,,,Y
2021-11-23,군산 횡경도,Gunsan Hoengkyungdo,12,,,Y
2021-11-23,영광 안마도,Yeongkwang Anmado,14,,,Y
2021-11-23,제주 가파도,Jeju Gapado,19,,,Y
2021-11-23,고흥 부아도,Goheung Buado,15,,,Y
2021-11-23,울산 간절곶,Ulsan Ganjeolgop,16,,,Y
2021-11-23,통영 소매물도,Tongyeong Somaemuldo,16,,,Y
2021-11-23,태안 내포,Naepo,14,,,Y
2021-11-23,태안 안면도,Anmyeondo,13,,,Y
2021-11-23,포항 월포,Pohang Wolpo,16,,,Y
2021-11-23,영광 낙월,Yeongkwang Nakweol,12,,,Y
2021-11-23,제주 신산,Jeju Sinsan,19,,,Y
2021-11-23,부안 변산,Buan Byunsan,13,,,Y
2021-11-23,남해 상주,Namhae Sangju,15,,,Y
2021-11-23,통영 연화도,Tongyeong Yeonhwado,16,,,Y
2021-11-23,진도 조도,Jindo Jodo,14,,,Y
2021-11-23,진도 불무도,Jindo Bulmudo,15,,,Y
2021-11-23,제주 영락,Jeju Youngrak,19,,,Y
2021-11-23,진해 잠도,Jinhae Jamdo,15,,,Y
2021-11-23,부안 위도,Buan Wido,14,,,Y
2021-11-23,인천 장봉도,Jangbongdo,12,,,Y
2021-11-23,제주 김녕,Jeju Gimnyung,17,,,Y
2021-11-23,태안 파도리,taean padori,12,,,
2021-11-23,태안 파도리,taean padori,11,,,
2021-11-23,태안 대야도,taean daeyado,14,,,
2021-11-23,태안 대야도,taean daeyado,14,,,
2021-11-23,신안다수,shinan dasu,15,,,
2021-11-23,강진 마량,gangjin maryang,14,,,
2021-11-23,장흥 내저,jangheung naejeo,15,,,
2021-11-23,신안 다물도,shinan damuldo,15,,,
2021-11-23,해남 어란,haenam eoran,14,,,
2021-11-23,해남 상마,haenam sangma,14,,,
2021-11-23,완도 동촌,wando dongchon,14,,,
2021-11-23,신안 사치,Shinan sachi,14,,,
2021-11-23,진도 가사,Jindo gasa,15,,,
2021-11-23,완도 고마,Wando goma,14,,,
2021-11-23,여수 신월2 ,YEOSOOSINWOL2,15,,,
2021-11-23,진도 회동,jindo heodong,14,,,
2021-11-23,보성 동율,BOSEONG DONGYUL,13,,,
2021-11-23,장흥 노력,JANGHEUNG NORYUK,14,,,
2021-11-23,진도 저도,JINDO JEODO,15,,,
2021-11-23,맹골수도(기상청파고부이),,14,,,Y
2021-11-23,혈암(기상청파고부이),,16,,,Y
2021-11-23,구암(기상청파고부이),,16,,,Y
2021-11-23,독도(기상청파고부이),,16,,,Y
2021-11-23,연곡(기상청파고부이),,14,,,Y
2021-11-23,청산도(기상청파고부이),,15,,,Y
2021-11-23,북항(기상청파고부이),,15,,,Y
2021-11-23,울릉읍(기상청파고부이),,17,,,Y
2021-11-23,토성(기상청파고부이),,15,,,Y
2021-11-23,대치마도(기상청파고부이),,10,,,Y
2021-11-23,사량도(기상청파고부이),,16,,,Y
2021-11-23,삼척(기상청파고부이),,15,,,Y
2021-11-23,나로도(기상청파고부이),,15,,,Y
2021-11-23,노화도(기상청파고부이),,15,,,Y
2021-11-23,초도(기상청파고부이),,15,,,Y
2021-11-23,통영 수월,Tongyeong Suwol,16,25,,
2021-11-23,통영 학림,Tongyeong Haklim,16,,,
2021-11-23,남해 미조,NamHae Mizo,16,,,
2021-11-23,목포,Mokpo,14,,,
2021-11-23,남해 강진,NAMHAEKANGJIN,15,,,
2021-11-23,보령 효자도,BORYUNGHYOJADO,14,,,
2021-10-26,삼척,SAMCHEOK,21,,,
2021-10-26,삼척,SAMCHEOK,22,,,
2021-10-26,삼척,SAMCHEOK,22,,,
