년도,배출원,휘발유,실내등유,보일러등유,경유,경질중유,중유,방카C유,제트연료,프로판,부탄,윤활유,기타제품,부생연료유1호,부생연료유2호
1990,국내해운,0.599002411,0.153887364,0,639.5127322,145.6649552,81.0686505,1574.193351,0.008851669,0,0,0,0,0,0
1990,국제해운,0,0.038471841,0,1267.046422,193.4160498,48.89928265,6193.628205,0,0,0,0,0.081408837,0,0
1990,어업,16.93589511,2.120177334,0,1957.596792,264.0131442,4.315178869,88.15117543,0,0.623154073,0,0,0,0,0
1990,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,국내해운,1.021827641,0.73096498,0,438.1387263,118.8734779,91.2079928,384.5153766,0,0,0,0,0,0,0
1991,국제해운,0,0.153887364,0,1783.658383,281.1131932,70.51451692,10372.94187,0,0,0,0,0,0,0
1991,어업,19.80190183,1.987982291,0,2199.473703,258.5962078,4.228296073,91.88262325,0,0.887012104,0,0,0,0,0
1991,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,국내해운,1.161007613,2.304078562,0,432.929314,150.9881718,99.01759077,451.2633512,0,0,0,0,0,0,0
1992,국제해운,0,0.219674213,0,2157.537744,440.9828932,18.62965884,13099.73725,0,0,0,0,0,0,0
1992,어업,27.58421239,2.715235624,0,2448.302091,271.9718738,3.915518008,90.82138579,0,0.892626105,0,0,0,0,0
1992,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,국내해운,0.777998425,8.878531482,0,820.8123851,225.2058258,97.75017298,3164.125295,0,0.068412009,0,0,0,0,0
1993,국제해운,0,0.077328401,0,1969.284782,482.1461784,10.25548386,13959.73195,0,0,0,0,0,0,0
1993,어업,35.07992228,3.284830114,0,2686.789616,324.4744877,7.854204762,115.9829834,0,0.887012104,0,0,0,0,0
1993,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,국내해운,1.013018782,0.058477198,0,589.6307391,184.7454332,95.18906729,2805.711715,0,0.068651211,0,0,0,0,0
1994,국제해운,0,0.076174245,0,2529.83503,345.4714958,13.88214225,16206.89785,0,0,0,0,0,0,0
1994,어업,30.11085895,2.030558852,0,3250.250059,361.7567282,11.87629644,138.1892095,0,3.084431663,0,0,0,0,0
1994,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,국내해운,0.809710317,0.715576244,0,774.1701976,204.2725176,107.1714655,2544.478002,0,0.040903683,0,0,0,0,0
1995,국제해운,0,0.14773187,0,3050.533316,432.3745416,22.00421631,18631.82145,0,0,0,0,0,0,0
1995,어업,49.02248835,9.764550648,0,3407.311694,413.1908678,15.63212821,162.1756505,0,2.341343523,0,0,0,0,0
1995,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,국내해운,0.986592206,1.226482293,0,702.8843879,321.90245,110.6405032,824.105326,0.020397324,0.072956862,0,0,0,0,0
1996,국제해운,0,1.953984808,0,3725.149686,432.7494469,48.80526329,22874.16155,0,3.036919097,0,0,0,0,0
1996,어업,54.37088539,4.268076015,0,3404.603989,320.7442558,15.20477843,331.9774728,0,2.998598247,0.315247989,0,0,0,0
1996,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,국내해운,1.871706356,2.871538217,0,758.0459863,170.553843,134.7850425,1514.448845,0,0.099269173,0,0,0,0,0
1997,국제해운,0.591602969,1.554262379,0,3878.959328,432.4736394,83.06103126,25392.99788,0,2.975443971,0,0,0,0,0
1997,어업,88.41378079,2.544078286,0,3684.481881,402.9033719,16.53130536,160.7018387,0,2.970854269,0.566109912,0,0,0,0
1997,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,국내해운,1.661703158,12.83997696,0,794.0381748,149.7275254,88.08046658,1156.882001,0,1.013980786,0,0,0,0,0
1998,국제해운,0,5.246404967,0,4441.09081,524.5863339,197.701505,25663.61728,0,0,0,0,0,0,0
1998,어업,166.5456426,4.321745287,0,3271.086416,301.6584621,14.87722652,118.6907478,0.407191385,1.068347043,0.445913084,0,87.33584653,0,0
1998,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,국내해운,1.532036753,10.83790235,0,1356.368887,302.8835706,100.4748908,281.431749,0,5.001013513,0.040868983,0,0,0,0
1999,국제해운,0.009161213,0.269687606,0,4570.110139,505.7752967,92.74041613,28529.58756,0,3.312719957,0.069450559,0,0,0,0
1999,어업,216.570398,3.007632953,0,2941.792895,201.3375604,13.88016001,122.8001385,0.403104993,4.822632364,1.020773844,0,0,0,0
1999,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,국내해운,0.017617718,9.144756622,0,1037.118162,290.2297497,89.62256837,1322.669892,0,1.194100515,0.057697388,0,0,0,0
2000,국제해운,0,0.064632693,0,3445.492849,579.4790454,1.258661083,27141.68036,0,0.026073108,0,0,0,0,0
2000,어업,271.9467921,1.638906246,0,3116.000896,219.1253395,11.67822946,125.3298406,0,1.47027552,2.549842267,0,0,0,0
2000,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,국내해운,2.290655689,4.593153105,0,637.7209197,244.2198819,84.95616652,1520.287694,0,1.290020848,0.00320541,0,0,0,2.524264068
2001,국제해운,0.98694456,0.11618496,0,3364.253506,226.8795258,1.129614908,26325.52929,0,0,0.047279804,0,0,0,0
2001,어업,303.8078261,2.44291199,0,3449.781582,250.4207615,15.5584917,124.3232924,0,0.374898921,1.45996502,0,0,0,0
2001,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,국내해운,0.125085797,10.41394266,0,827.9212112,244.8289386,101.1915579,1709.421433,0,1.790672366,0.029650046,0,0,0.707035753,5.019114042
2002,국제해운,0.310071836,3.123144058,0,3273.495658,170.2245402,4.384804667,25508.21169,0,0.894140169,0.924760908,0,0,0,0
2002,어업,336.4022826,5.471848829,0,3411.304657,213.3455536,18.03443935,117.6976156,0,2.139979255,1.574167254,0,0,0.072612043,0.018322368
2002,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,국내해운,0.421063459,2.19058663,0,849.2460081,255.8099364,103.6853753,1805.787974,0,1.670353344,0.032855457,0,0,0.11275124,1.7626173
